image,label,task,ground_truth_json,source,license,group,source_sha256,content_sha256
data/ifiresmoke/fire_001.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":148.5,""y1"":306.0,""x2"":204.5,""y2"":406.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:0182_jpg,86e2614dcc373251af587622c0b98b82899e824005a0b084269298bf6550ae75,86e2614dcc373251af587622c0b98b82899e824005a0b084269298bf6550ae75
data/ifiresmoke/fire_002.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":0.0,""y1"":59.0,""x2"":188.0,""y2"":335.0}},{""category"":""fire"",""bbox"":{""x1"":274.5,""y1"":99.5,""x2"":415.5,""y2"":355.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV4_1_885_jpg,7c7cb95a29278fb4c8d287020caa5ca19ab781c714d6ec3ce3b5bb07d2887e47,7c7cb95a29278fb4c8d287020caa5ca19ab781c714d6ec3ce3b5bb07d2887e47
data/ifiresmoke/fire_003.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":132.0,""y1"":165.0,""x2"":160.0,""y2"":225.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:0119_jpg,700c95a9c702cf9c611f4af79767fcf5aada3c0f5577005d260c5bfd5263fa52,700c95a9c702cf9c611f4af79767fcf5aada3c0f5577005d260c5bfd5263fa52
data/ifiresmoke/fire_004.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":118.5,""y1"":68.0,""x2"":314.5,""y2"":323.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV6_1_1353_jpg,9106385ff6c94b1c8e92e4c642f89fc643d9ead2901f66494b63e263ad7480a2,9106385ff6c94b1c8e92e4c642f89fc643d9ead2901f66494b63e263ad7480a2
data/ifiresmoke/fire_005.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":71.5,""y1"":92.0,""x2"":353.5,""y2"":333.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:1a228a4049efc30e_jpg,8a86d456dda9b9a5dc9318580a5e1cdc95ad1242c2efd85cdd4103d7ccd17e02,8a86d456dda9b9a5dc9318580a5e1cdc95ad1242c2efd85cdd4103d7ccd17e02
data/ifiresmoke/fire_006.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":131.5,""y1"":119.5,""x2"":174.5,""y2"":218.5}},{""category"":""fire"",""bbox"":{""x1"":105.0,""y1"":0.0,""x2"":291.0,""y2"":52.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV9_1_2518_jpg,38bc7e559e20be52a0e0ff85a5921758a264a5d3af7610c7b5dd764f15c6b7b5,38bc7e559e20be52a0e0ff85a5921758a264a5d3af7610c7b5dd764f15c6b7b5
data/ifiresmoke/fire_007.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":130.0,""y1"":117.5,""x2"":187.0,""y2"":230.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:1af3a5ba46045369_jpg,66727b35cd5ea63fd4404852e68e8b8784182d6fe454c631b85f6fda90bd2738,66727b35cd5ea63fd4404852e68e8b8784182d6fe454c631b85f6fda90bd2738
data/ifiresmoke/fire_008.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":63.0,""y1"":90.0,""x2"":416.0,""y2"":309.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV5_1_377_jpg,5d75705307c15b69c31f5da1e7c93e12fe4c4549492632ad67d26e717a18b9d3,5d75705307c15b69c31f5da1e7c93e12fe4c4549492632ad67d26e717a18b9d3
data/ifiresmoke/fire_009.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":101.0,""y1"":136.5,""x2"":413.0,""y2"":368.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV7_1_168_jpg,21e2ac9d9f100c59bc11e5a09299c3cdb441a347275d1682ba55311b1aafa3f7,21e2ac9d9f100c59bc11e5a09299c3cdb441a347275d1682ba55311b1aafa3f7
data/ifiresmoke/fire_010.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":0.0,""y1"":0.0,""x2"":416.0,""y2"":416.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:12-factory_fire_jpg,5206a471ae61a928e25fd8e4ab823489ed1792d25d4759a263871fcdc9fdd724,5206a471ae61a928e25fd8e4ab823489ed1792d25d4759a263871fcdc9fdd724
