image,label,task,ground_truth_json,source,license,group,source_sha256,content_sha256
data/ifiresmoke/fire_001.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":148.5,""y1"":306.0,""x2"":204.5,""y2"":406.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:0182_jpg,86e2614dcc373251af587622c0b98b82899e824005a0b084269298bf6550ae75,86e2614dcc373251af587622c0b98b82899e824005a0b084269298bf6550ae75
data/ifiresmoke/fire_002.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":0.0,""y1"":59.0,""x2"":188.0,""y2"":335.0}},{""category"":""fire"",""bbox"":{""x1"":274.5,""y1"":99.5,""x2"":415.5,""y2"":355.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV4_1_885_jpg,7c7cb95a29278fb4c8d287020caa5ca19ab781c714d6ec3ce3b5bb07d2887e47,7c7cb95a29278fb4c8d287020caa5ca19ab781c714d6ec3ce3b5bb07d2887e47
data/ifiresmoke/fire_003.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":132.0,""y1"":165.0,""x2"":160.0,""y2"":225.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:0119_jpg,700c95a9c702cf9c611f4af79767fcf5aada3c0f5577005d260c5bfd5263fa52,700c95a9c702cf9c611f4af79767fcf5aada3c0f5577005d260c5bfd5263fa52
data/ifiresmoke/fire_004.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":118.5,""y1"":68.0,""x2"":314.5,""y2"":323.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV6_1_1353_jpg,9106385ff6c94b1c8e92e4c642f89fc643d9ead2901f66494b63e263ad7480a2,9106385ff6c94b1c8e92e4c642f89fc643d9ead2901f66494b63e263ad7480a2
data/ifiresmoke/fire_005.jpg,1,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""fire"",""bbox"":{""x1"":71.5,""y1"":92.0,""x2"":353.5,""y2"":333.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:1a228a4049efc30e_jpg,8a86d456dda9b9a5dc9318580a5e1cdc95ad1242c2efd85cdd4103d7ccd17e02,8a86d456dda9b9a5dc9318580a5e1cdc95ad1242c2efd85cdd4103d7ccd17e02
data/ifiresmoke/smoke_001.jpg,0,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""smoke"",""bbox"":{""x1"":50.0,""y1"":18.0,""x2"":413.0,""y2"":382.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV8_1_2886_jpg,4abb6d703f9effe854617997dfb5547bb1097e0c66eb26fe02937c52c507b3d0,4abb6d703f9effe854617997dfb5547bb1097e0c66eb26fe02937c52c507b3d0
data/ifiresmoke/smoke_002.jpg,0,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""smoke"",""bbox"":{""x1"":49.0,""y1"":29.5,""x2"":390.0,""y2"":372.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV8_1_3944_jpg,e07ed3ce2ec949f1df3b49419c0fcb26ab499af8278667d2111c2917d074b2ca,e07ed3ce2ec949f1df3b49419c0fcb26ab499af8278667d2111c2917d074b2ca
data/ifiresmoke/smoke_003.jpg,0,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""smoke"",""bbox"":{""x1"":0.0,""y1"":3.5,""x2"":361.0,""y2"":362.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV8_1_1920_jpg,41d6bc98a8b20837cbc0e7e7cde792535549a569475919a4e2926ea59f834f58,41d6bc98a8b20837cbc0e7e7cde792535549a569475919a4e2926ea59f834f58
data/ifiresmoke/smoke_004.jpg,0,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""smoke"",""bbox"":{""x1"":11.0,""y1"":3.5,""x2"":353.0,""y2"":360.5}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV8_1_1485_jpg,d129652f6f01e824c15f253d6d19d297a5db6de572fbb959e37f301f653e2964,d129652f6f01e824c15f253d6d19d297a5db6de572fbb959e37f301f653e2964
data/ifiresmoke/smoke_005.jpg,0,识别可见火焰和烟雾，输出定位证据、风险等级及复核建议,"[{""category"":""smoke"",""bbox"":{""x1"":45.5,""y1"":15.0,""x2"":399.5,""y2"":372.0}}]",shahriar-5/IFireSmoke@22b3c06db783d3e75c74234faa511020912eac64,CC-BY-4.0 (Hub card; archive README states MIT),ifiresmoke:FireDataV8_1_2775_jpg,e7e155f5c8f2bca1a461fdf90b4b8aca3c239fa7eda894736fe770ac51a68604,e7e155f5c8f2bca1a461fdf90b4b8aca3c239fa7eda894736fe770ac51a68604
